,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
6,Under 18,7936,340,2121,2,45,83,210,390,1644,81,6,1443,12,27,1,110,253,100,1,26,676,0.0,3,59,264,85,562,0,1649,0.0,204,251.0,2631837.0,ARKANSAS,2014
7,Total all ages,119850,3998,15484,86,243,582,3087,2176,12845,413,50,10590,724,1256,44,1138,1252,898,222,118,11168,8.0,277,6844,1918,5912,2462,542,54791,0.0,204,,,ARKANSAS,2014
8,Under 18,83391,7899,18970,95,275,2735,4794,6902,10408,1367,293,10336,85,227,12,1454,4331,3716,181,1205,8463,15.0,5,526,2155,1548,2978,172,15877,0.0,3236,684.0,38716884.0,CALIFORNIA,2014
9,Total all ages,1217089,106058,134746,1427,2443,14793,87395,48498,71440,13755,1053,78126,5222,6551,1047,17379,17175,24484,9153,9727,229083,285.0,316,155285,15673,89901,6308,8105,299229,0.0,3236,,,CALIFORNIA,2014
10,Under 18,26879,547,5999,13,51,120,363,471,5108,297,123,1752,8,91,6,29,975,336,2,150,3374,1.0,57,253,1966,52,2262,0,7411,0.0,1608,208.0,5195484.0,COLORADO,2014
11,Total all ages,239994,5936,32318,128,458,939,4411,2671,27857,1565,225,16849,585,1928,88,319,5296,2164,347,525,13381,13.0,3225,27874,12641,271,9801,561,104264,0.0,1608,,,COLORADO,2014
12,Under 18,9431,515,1917,5,33,213,264,323,1370,143,81,2378,15,31,1,36,437,199,1,85,732,0.0,41,33,72,0,1722,0,1209,0.0,7,101.0,3596160.0,CONNECTICUT,2014
13,Total all ages,107855,4051,17132,94,238,1166,2553,2409,13857,581,285,18508,681,963,164,285,2011,1129,348,389,9927,14.0,1401,8918,357,2,11949,26,29593,0.0,7,,,CONNECTICUT,2014
14,Under 18,4133,339,930,4,14,146,175,190,706,24,10,1104,4,59,1,58,147,113,0,30,458,1.0,1,3,135,4,304,0,377,0.0,65,49.0,933379.0,DELAWARE,2014
15,Total all ages,36780,2126,7963,22,78,537,1489,1027,6780,128,28,6826,272,1884,204,435,774,394,64,137,6163,6.0,194,334,1120,473,1645,489,5212,0.0,65,,,DELAWARE,2014
16,Under 18,332,43,25,0,0,34,9,0,22,3,0,31,3,1,0,4,6,31,0,0,23,0.0,0,0,4,0,15,0,144,0.0,2,1.0,0.0,WASHINGTON DC,2014
17,Total all ages,5709,110,128,0,1,64,45,0,119,8,1,202,12,3,0,14,38,92,0,0,389,0.0,0,10,532,64,76,92,3945,0.0,2,,,WASHINGTON DC,2014
18,Under 18,66839,4536,19449,49,270,1657,2560,5462,12220,1700,67,10075,52,450,21,130,1297,854,27,219,7382,5.0,0,130,864,0,0,0,21348,0.0,0,591.0,19829171.0,FLORIDA,2014
19,Total all ages,865272,39249,119875,685,1839,7712,29013,20914,92468,6204,289,81138,2482,12236,954,2400,6464,4911,3356,2583,122190,416.0,0,42745,21682,0,0,0,402591,0.0,0,,,FLORIDA,2014
