,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
381,2016,HAWAII,Over 18,128,0,128
382,2016,ILLINOIS,Over 18,1652,192,1844
383,2016,INDIANA,Over 18,128,0,128
384,2016,KANSAS,Over 18,0,128,128
385,2016,KENTUCKY,Over 18,94,0,94
386,2016,LOUISIANA,Over 18,7616,128,7744
387,2016,MARYLAND,Over 18,998,-448,550
388,2016,MASSACHUSETTS,Over 18,0,186,186
389,2016,MICHIGAN,Over 18,640,128,768
390,2016,MINNESOTA,Over 18,14282,0,14282
391,2016,MISSOURI,Over 18,832,0,832
392,2016,MONTANA,Over 18,64,0,64
393,2016,NORTH DAKOTA,Over 18,256,64,320
394,2016,OHIO,Over 18,64,0,64
395,2016,OKLAHOMA,Over 18,2624,256,2880
396,2016,RHODE ISLAND,Over 18,372,64,436
397,2016,SOUTH CAROLINA,Over 18,1010,320,1330
398,2016,TENNESSEE,Over 18,2998,0,2998
399,2016,TEXAS,Over 18,7714,8328,16042
400,2016,VERMONT,Over 18,114,0,114
401,2016,WASHINGTON,Over 18,864,64,928
402,2016,WISCONSIN,Over 18,2024,64,2088
403,2016,WYOMING,Over 18,192,128,320
404,2017,ALASKA,Over 18,20,64,84
405,2017,ARIZONA,Over 18,5677,448,6125
406,2017,COLORADO,Over 18,3242,566,3808
407,2017,CONNECTICUT,Over 18,512,64,576
408,2017,DELAWARE,Over 18,300,0,300
409,2017,HAWAII,Over 18,128,0,128
410,2017,IDAHO,Over 18,192,0,192
411,2017,ILLINOIS,Over 18,1635,500,2135
412,2017,INDIANA,Over 18,128,64,192
413,2017,KANSAS,Over 18,192,0,192
414,2017,KENTUCKY,Over 18,1841,1825,3666
415,2017,LOUISIANA,Over 18,3776,128,3904
416,2017,MAINE,Over 18,128,0,128
417,2017,MASSACHUSETTS,Over 18,1195,696,1891
418,2017,MICHIGAN,Over 18,644,682,1326
419,2017,MINNESOTA,Over 18,10431,0,10431
420,2017,MISSOURI,Over 18,1664,192,1856
421,2017,MONTANA,Over 18,128,0,128
422,2017,NEVADA,Over 18,320,0,320
423,2017,NORTH DAKOTA,Over 18,768,64,832
424,2017,OHIO,Over 18,64,0,64
425,2017,OKLAHOMA,Over 18,1472,0,1472
426,2017,OREGON,Over 18,1344,64,1408
427,2017,RHODE ISLAND,Over 18,768,64,832
428,2017,SOUTH CAROLINA,Over 18,1651,256,1907
429,2017,SOUTH DAKOTA,Over 18,192,0,192
430,2017,TENNESSEE,Over 18,4632,191,4823
431,2017,TEXAS,Over 18,13969,6404,20373
432,2017,UTAH,Over 18,1024,0,1024
433,2017,VERMONT,Over 18,47,0,47
434,2017,VIRGINIA,Over 18,598,0,598
435,2017,WASHINGTON,Over 18,1929,64,1993
436,2017,WISCONSIN,Over 18,3931,384,4315
437,2017,WYOMING,Over 18,64,0,64
438,2018,ALASKA,Over 18,128,256,384
439,2018,ARIZONA,Over 18,3501,64,3565
440,2018,ARKANSAS,Over 18,64,128,192
441,2018,COLORADO,Over 18,3264,278,3542
442,2018,CONNECTICUT,Over 18,584,124,708
443,2018,DELAWARE,Over 18,180,60,240
444,2018,FLORIDA,Over 18,5765,832,6597
445,2018,GEORGIA,Over 18,97,0,97
446,2018,HAWAII,Over 18,256,0,256
447,2018,ILLINOIS,Over 18,1728,320,2048
448,2018,INDIANA,Over 18,304,112,416
449,2018,KENTUCKY,Over 18,2043,734,2777
450,2018,LOUISIANA,Over 18,1472,64,1536
451,2018,MAINE,Over 18,64,64,128
452,2018,MASSACHUSETTS,Over 18,2981,512,3493
453,2018,MICHIGAN,Over 18,1578,398,1976
454,2018,MINNESOTA,Over 18,7865,64,7929
455,2018,MISSISSIPPI,Over 18,64,0,64
456,2018,MISSOURI,Over 18,1494,64,1558
457,2018,MONTANA,Over 18,128,0,128
458,2018,NEVADA,Over 18,13440,0,13440
459,2018,NEW JERSEY,Over 18,0,62,62
460,2018,NEW MEXICO,Over 18,256,0,256
461,2018,NORTH DAKOTA,Over 18,210,0,210
462,2018,OHIO,Over 18,192,128,320
463,2018,OKLAHOMA,Over 18,1216,128,1344
464,2018,OREGON,Over 18,1536,64,1600
465,2018,RHODE ISLAND,Over 18,832,64,896
466,2018,SOUTH CAROLINA,Over 18,752,64,816
467,2018,SOUTH DAKOTA,Over 18,64,0,64
468,2018,TENNESSEE,Over 18,2112,302,2414
469,2018,TEXAS,Over 18,16837,3747,20584
470,2018,UTAH,Over 18,1280,0,1280
471,2018,VERMONT,Over 18,254,0,254
472,2018,VIRGINIA,Over 18,564,0,564
473,2018,WASHINGTON,Over 18,2304,599,2903
474,2018,WEST VIRGINIA,Over 18,100,0,100
475,2018,WISCONSIN,Over 18,4843,512,5355
476,2018,WYOMING,Over 18,128,128,256
477,2019,ALABAMA,Over 18,48,0,48
478,2019,ALASKA,Over 18,329,0,329
479,2019,ARIZONA,Over 18,3328,46,3374
480,2019,ARKANSAS,Over 18,64,64,128
481,2019,COLORADO,Over 18,2900,502,3402
482,2019,CONNECTICUT,Over 18,264,192,456
483,2019,DELAWARE,Over 18,912,601,1513
