,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
827,Over 18,71583,4001,6831,60,93,403,3445,847,5633,319,32,7924,170,317,119,970,929,469,86,60,4903,3,1370,6411,1201,561,1336,30,33890,2,0,0,0,NEW MEXICO,2018,153
828,Under 18,2852,196,265,6,9,25,156,43,206,15,1,721,0,6,1,28,94,71,0,6,438,0,19,34,157,26,219,1,555,1,14,60,1366127,NEW MEXICO,2019,15
829,Total all ages,59847,3412,5444,49,58,271,3034,705,4445,254,40,7399,134,342,117,704,1200,469,47,53,3260,3,1496,4190,875,1922,1501,71,27189,5,14,0,0,NEW MEXICO,2019,111
830,Over 18,56995,3216,5179,43,49,246,2878,662,4239,239,39,6678,134,336,116,676,1106,398,47,47,2822,3,1477,4156,718,1896,1282,70,26634,4,0,0,0,NEW MEXICO,2019,96
831,Under 18,601,82,69,1,3,19,59,25,32,11,1,132,1,1,0,16,32,21,0,2,27,0,18,20,33,0,14,0,133,0,0,17,930644,NEW MEXICO,2020,5
832,Total all ages,28483,2264,3115,20,42,178,2024,372,2529,191,23,4677,19,99,52,496,1146,327,34,14,1317,0,2032,2291,618,6,665,77,9232,2,0,0,0,NEW MEXICO,2020,56
833,Over 18,27882,2182,3046,19,39,159,1965,347,2497,180,22,4545,18,98,52,480,1114,306,34,12,1290,0,2014,2271,585,6,651,77,9099,2,0,0,0,NEW MEXICO,2020,51
834,Under 18,459,63,40,2,1,7,53,11,19,10,0,128,1,0,1,8,15,13,0,2,38,0,5,19,18,0,39,0,69,0,0,24,985537,NEW MEXICO,2021,3
835,Total all ages,25409,2028,1921,30,19,151,1828,389,1335,178,19,5756,20,99,54,542,1045,316,12,20,1615,0,650,2414,685,0,673,45,7514,0,0,0,0,NEW MEXICO,2021,39
836,Over 18,24950,1965,1881,28,18,144,1775,378,1316,168,19,5628,19,99,53,534,1030,303,12,18,1577,0,645,2395,667,0,634,45,7445,0,0,0,0,NEW MEXICO,2021,36
837,Under 18,26195,1817,7370,32,43,867,875,1352,5562,343,113,3719,57,229,5,568,2479,406,22,390,3805,16,36,170,502,0,1126,11,3467,0,0,435,10496474,NEW YORK,2013,433
838,Total all ages,300442,12902,59628,254,354,3605,8689,7872,49635,1794,327,34392,2952,5444,90,4661,15131,3248,1158,2191,61633,117,342,29977,2893,0,9750,798,53135,0,0,0,0,NEW YORK,2013,2545
839,Over 18,274247,11085,52258,222,311,2738,7814,6520,44073,1451,214,30673,2895,5215,85,4093,12652,2842,1136,1801,57828,101,306,29807,2391,0,8624,787,49668,0,0,0,0,NEW YORK,2013,2112
840,Under 18,22398,1692,6174,15,54,824,799,1093,4634,346,101,3097,73,202,0,482,2169,481,8,342,3293,7,42,92,342,0,959,19,2924,0,0,435,10093827,NEW YORK,2014,396
841,Total all ages,264268,11907,51764,210,422,3415,7860,6530,43326,1627,281,29594,2473,4874,46,3800,13593,3218,834,1938,58782,82,522,26587,2141,0,7596,788,43729,0,0,0,0,NEW YORK,2014,2360
842,Over 18,241870,10215,45590,195,368,2591,7061,5437,38692,1281,180,26497,2400,4672,46,3318,11424,2737,826,1596,55489,75,480,26495,1799,0,6637,769,40805,0,0,0,0,NEW YORK,2014,1964
843,Under 18,21248,1765,5985,10,226,760,769,1071,4444,389,81,2887,55,198,2,479,2069,418,11,298,3295,7,22,109,357,0,697,12,2582,0,0,531,10479132,NEW YORK,2015,524
844,Total all ages,271540,13418,51569,262,1121,3574,8461,6223,43300,1770,276,30295,2655,4760,72,3558,14382,3436,847,1893,62035,77,582,28988,1634,0,6471,713,44155,0,0,0,0,NEW YORK,2015,3014
845,Over 18,250292,11653,45584,252,895,2814,7692,5152,38856,1381,195,27408,2600,4562,70,3079,12313,3018,836,1595,58740,70,560,28879,1277,0,5774,701,41573,0,0,0,0,NEW YORK,2015,2490
846,Under 18,20322,1692,5312,16,193,693,790,851,3998,392,71,2767,102,159,1,485,2075,395,16,296,3331,1,29,113,201,0,592,10,2745,0,0,544,10621114,NEW YORK,2016,489
847,Total all ages,271780,13238,49196,255,1091,3280,8612,5780,41354,1820,242,29532,2801,4419,62,3441,14798,3624,627,1970,65379,74,595,29238,1599,0,6355,565,44267,0,0,0,0,NEW YORK,2016,3061
848,Over 18,251458,11546,43884,239,898,2587,7822,4929,37356,1428,171,26765,2699,4260,61,2956,12723,3229,611,1674,62048,73,566,29125,1398,0,5763,555,41522,0,0,0,0,NEW YORK,2016,2572
849,Under 18,18426,1508,4873,22,180,623,683,877,3542,358,96,2413,82,179,3,417,1880,330,6,322,3344,14,24,82,198,0,504,9,2238,0,0,510,10121830,NEW YORK,2017,502
850,Total all ages,259257,12440,43759,264,970,3090,8116,5200,36562,1713,284,27397,2616,4086,48,3183,13559,3468,672,1662,69904,102,550,27136,1450,0,4867,618,41740,0,0,0,0,NEW YORK,2017,2632
851,Over 18,240831,10932,38886,242,790,2467,7433,4323,33020,1355,188,24984,2534,3907,45,2766,11679,3138,666,1340,66560,88,526,27054,1252,0,4363,609,39502,0,0,0,0,NEW YORK,2017,2130
852,Under 18,14434,1207,3468,22,166,466,553,499,2536,370,63,2249,56,96,1,328,1449,288,3,279,2643,1,9,59,126,0,393,9,1770,0,0,505,9571301,NEW YORK,2018,445
853,Total all ages,244041,11433,40466,244,933,2630,7626,4291,34122,1786,267,26623,2019,3749,27,2752,12509,3156,561,1705,69571,45,470,25094,943,0,4273,580,38065,0,0,0,0,NEW YORK,2018,2638
854,Over 18,229607,10226,36998,222,767,2164,7073,3792,31586,1416,204,24374,1963,3653,26,2424,11060,2868,558,1426,66928,44,461,25035,817,0,3880,571,36295,0,0,0,0,NEW YORK,2018,2193
855,Under 18,11606,1143,3263,19,183,446,495,559,2303,352,49,1845,29,62,0,286,1339,236,2,224,1510,1,4,55,50,0,257,3,1297,0,0,491,9909569,NEW YORK,2019,407
856,Total all ages,218837,10788,38303,197,988,2222,7381,3866,32464,1755,218,24101,1732,3497,20,2239,11841,2814,499,1544,55575,32,514,25059,529,0,3769,755,35226,0,0,0,0,NEW YORK,2019,2532
857,Over 18,207231,9645,35040,178,805,1776,6886,3307,30161,1403,169,22256,1703,3435,20,1953,10502,2578,497,1320,54065,31,510,25004,479,0,3512,752,33929,0,0,0,0,NEW YORK,2019,2125
858,Under 18,6317,809,1816,26,116,317,350,394,1008,383,31,777,19,29,2,308,898,171,0,136,542,0,8,58,21,0,95,0,628,0,0,453,9397374,NEW YORK,2020,252
859,Total all ages,152107,9218,29730,259,694,1744,6521,4088,23644,1786,212,18313,1343,1486,20,2277,9942,2629,167,1092,33690,35,295,17047,214,0,1607,137,22865,0,0,0,0,NEW YORK,2020,1786
860,Over 18,145790,8409,27914,233,578,1427,6171,3694,22636,1403,181,17536,1324,1457,18,1969,9044,2458,167,956,33148,35,287,16989,193,0,1512,137,22237,0,0,0,0,NEW YORK,2020,1534
861,Under 18,1610,185,392,2,22,63,98,65,216,99,12,291,2,5,1,50,300,73,0,41,29,0,0,11,17,0,17,0,196,0,0,93,3453145,NEW YORK,2021,63
862,Total all ages,40069,2428,8306,41,151,435,1801,1032,6673,520,81,5796,230,276,16,465,3207,829,14,214,3502,7,39,3589,72,0,551,15,10513,0,0,0,0,NEW YORK,2021,365
863,Over 18,38459,2243,7914,39,129,372,1703,967,6457,421,69,5505,228,271,15,415,2907,756,14,173,3473,7,39,3578,55,0,534,15,10317,0,0,0,0,NEW YORK,2021,302
864,Under 18,28760,1487,7729,39,48,597,803,2028,5468,145,88,5476,30,298,16,402,1101,1044,14,145,2435,2,60,318,962,0,2613,0,4628,0,0,306,8759566,NORTH CAROLINA,2013,193
865,Total all ages,395015,17148,62371,567,411,3876,12294,14163,46754,1137,317,48870,2114,13751,1291,3933,6579,6120,715,1394,35470,197,7462,41247,7877,0,10608,269,127599,0,0,0,0,NORTH CAROLINA,2013,1805
866,Over 18,366255,15661,54642,528,363,3279,11491,12135,41286,992,229,43394,2084,13453,1275,3531,5478,5076,701,1249,33035,195,7402,40929,6915,0,7995,269,122971,0,0,0,0,NORTH CAROLINA,2013,1612
867,Under 18,27216,1392,7348,34,36,558,764,1793,5339,123,93,5307,30,256,24,398,1063,1066,12,144,2480,9,53,276,770,0,2461,0,4117,0,10,321,8996381,NORTH CAROLINA,2014,180
868,Total all ages,369728,16763,60597,494,401,3330,12538,12674,46549,1099,275,48327,1845,12783,1277,3842,6624,6398,495,1216,34695,153,6760,39743,4849,0,8729,165,114457,0,10,0,0,NORTH CAROLINA,2014,1617
869,Over 18,342512,15371,53249,460,365,2772,11774,10881,41210,976,182,43020,1815,12527,1253,3444,5561,5332,483,1072,32215,144,6707,39467,4079,0,6268,165,110340,0,0,0,0,NORTH CAROLINA,2014,1437
870,Under 18,19724,1207,5815,45,29,550,583,1454,4134,173,54,3575,29,185,19,398,937,661,6,92,1288,1,50,242,507,0,1589,0,3103,0,20,247,6955485,NORTH CAROLINA,2015,121
871,Total all ages,278625,13275,46827,430,294,3002,9549,9144,36598,867,218,37505,1418,8564,1130,3344,5022,4981,420,968,21487,99,4613,35967,3309,0,6878,5,82793,0,20,0,0,NORTH CAROLINA,2015,1262
872,Over 18,258901,12068,41012,385,265,2452,8966,7690,32464,694,164,33930,1389,8379,1111,2946,4085,4320,414,876,20199,98,4563,35725,2802,0,5289,5,79690,0,0,0,0,NORTH CAROLINA,2015,1141
873,Under 18,16027,923,4413,26,14,504,379,1189,3003,178,43,3195,24,171,30,343,570,592,7,73,1227,0,34,201,457,0,1305,0,2447,0,15,235,6270620,NORTH CAROLINA,2016,87
874,Total all ages,231449,11607,36802,497,273,2610,8227,7909,27736,969,188,32067,1167,7337,983,2836,3989,4485,182,823,18247,43,4412,30380,2286,0,4497,12,69279,0,15,0,0,NORTH CAROLINA,2016,1096
875,Over 18,215422,10684,32389,471,259,2106,7848,6720,24733,791,145,28872,1143,7166,953,2493,3419,3893,175,750,17020,43,4378,30179,1829,0,3192,12,66832,0,0,0,0,NORTH CAROLINA,2016,1009
876,Under 18,15757,947,4335,31,18,465,433,1271,2822,214,28,2896,37,174,20,392,629,546,6,90,1519,2,18,190,278,0,1173,0,2487,0,18,213,6457952,NORTH CAROLINA,2017,108
877,Total all ages,240365,11630,34918,464,229,2571,8366,7836,25826,1066,190,31024,1326,6720,1185,3356,3958,5147,374,806,25902,61,4294,30277,1926,0,5425,5,72013,0,18,0,0,NORTH CAROLINA,2017,1035
878,Over 18,224608,10683,30583,433,211,2106,7933,6565,23004,852,162,28128,1289,6546,1165,2964,3329,4601,368,716,24383,59,4276,30087,1648,0,4252,5,69526,0,0,0,0,NORTH CAROLINA,2017,927
879,Under 18,11088,757,2673,30,13,412,302,708,1655,290,20,2013,20,118,22,351,478,386,0,72,1414,0,18,141,173,0,686,2,1759,0,5,204,5380474,NORTH CAROLINA,2018,85
880,Total all ages,200411,9180,26731,351,165,2177,6487,5451,20037,1115,128,22676,863,4412,799,2682,3006,4052,148,608,26936,39,3181,27915,1490,0,4183,15,61490,0,5,0,0,NORTH CAROLINA,2018,773
881,Over 18,189323,8423,24058,321,152,1765,6185,4743,18382,825,108,20663,843,4294,777,2331,2528,3666,148,536,25522,39,3163,27774,1317,0,3497,13,59731,0,0,0,0,NORTH CAROLINA,2018,688
882,Under 18,12088,792,2798,39,34,396,323,666,1849,248,35,2252,22,119,20,427,472,372,4,41,1400,1,21,63,175,17,670,0,2401,0,21,252,7210092,NORTH CAROLINA,2019,75
883,Total all ages,199517,8942,25854,366,200,1967,6409,5174,19503,977,200,20389,727,2954,710,3138,2469,2703,221,301,31431,32,3192,11639,1123,1272,2729,23,79647,0,21,0,0,NORTH CAROLINA,2019,501
884,Over 18,187429,8150,23056,327,166,1571,6086,4508,17654,729,165,18137,705,2835,690,2711,1997,2331,217,260,30031,31,3171,11576,948,1255,2059,23,77246,0,0,0,0,NORTH CAROLINA,2019,426
885,Under 18,6962,648,1936,29,19,326,274,491,1136,276,33,1067,3,67,15,370,240,203,2,25,627,0,5,109,52,8,245,0,1307,0,33,288,8731507,NORTH CAROLINA,2020,44
886,Total all ages,197222,10029,25582,469,199,2157,7204,5724,18340,1274,244,21359,644,2606,629,3429,2562,3295,150,365,33156,17,2925,11646,834,836,2525,89,74511,0,33,0,0,NORTH CAROLINA,2020,564
887,Over 18,190260,9381,23646,440,180,1831,6930,5233,17204,998,211,20292,641,2539,614,3059,2322,3092,148,340,32529,17,2920,11537,782,828,2280,89,73204,0,0,0,0,NORTH CAROLINA,2020,520
888,Under 18,7249,619,1376,40,32,233,314,358,739,262,17,1593,6,65,19,328,318,299,0,19,570,0,4,101,55,0,413,0,1434,0,30,312,9268170,NORTH CAROLINA,2021,51
889,Total all ages,225175,10186,22604,561,235,1722,7668,5022,16041,1315,226,21992,481,2317,591,3474,2845,4167,83,419,34780,24,2871,13365,1412,0,2957,214,100363,0,30,0,0,NORTH CAROLINA,2021,654
890,Over 18,217926,9567,21228,521,203,1489,7354,4664,15302,1053,209,20399,475,2252,572,3146,2527,3868,83,400,34210,24,2867,13264,1357,0,2544,214,98929,0,0,0,0,NORTH CAROLINA,2021,603
891,Under 18,4003,38,672,0,7,2,29,50,579,34,9,386,1,11,7,32,159,17,0,26,346,0,53,38,661,2,655,0,811,0,88,98,714526,NORTH DAKOTA,2013,33
892,Total all ages,30642,585,2947,8,32,44,501,218,2556,157,16,2376,77,377,36,141,453,333,43,77,3345,2,133,7077,3985,338,1848,6,6375,0,88,0,0,NORTH DAKOTA,2013,109
893,Over 18,26639,547,2275,8,25,42,472,168,1977,123,7,1990,76,366,29,109,294,316,43,51,2999,2,80,7039,3324,336,1193,6,5564,0,0,0,0,NORTH DAKOTA,2013,76
894,Under 18,3633,47,654,0,21,5,21,37,581,31,5,301,1,15,7,17,146,21,0,15,395,0,51,32,572,0,527,0,746,0,86,101,711112,NORTH DAKOTA,2014,36
895,Total all ages,30653,616,3132,16,54,57,489,224,2703,190,15,2334,96,374,61,151,435,356,47,69,4004,0,106,6664,3500,372,1640,2,6608,0,86,0,0,NORTH DAKOTA,2014,123
896,Over 18,27020,569,2478,16,33,52,468,187,2122,159,10,2033,95,359,54,134,289,335,47,54,3609,0,55,6632,2928,372,1113,2,5862,0,0,0,0,NORTH DAKOTA,2014,87
897,Under 18,3659,58,646,0,7,8,43,47,558,36,5,360,2,13,2,23,129,24,1,24,385,0,122,44,460,20,653,0,607,0,86,106,744362,NORTH DAKOTA,2015,31
898,Total all ages,32565,682,3420,19,41,44,578,282,2908,211,19,2650,110,299,37,273,454,406,47,114,4475,3,287,6351,3077,867,1927,1,6995,4,86,0,0,NORTH DAKOTA,2015,155
899,Over 18,28906,624,2774,19,34,36,535,235,2350,175,14,2290,108,286,35,250,325,382,46,90,4090,3,165,6307,2617,847,1274,1,6388,4,0,0,0,NORTH DAKOTA,2015,124
900,Under 18,3788,53,626,0,4,6,43,31,540,48,7,391,3,7,8,44,156,22,0,25,442,0,129,26,469,0,662,0,617,0,108,106,753138,NORTH DAKOTA,2016,29
901,Total all ages,34817,743,3563,14,45,76,608,281,2894,234,154,2789,124,351,59,320,506,340,20,89,5093,0,313,5725,2922,309,2202,6,9234,1,108,0,0,NORTH DAKOTA,2016,134
902,Over 18,31029,690,2937,14,41,70,565,250,2354,186,147,2398,121,344,51,276,350,318,20,64,4651,0,184,5699,2453,309,1540,6,8617,1,0,0,0,NORTH DAKOTA,2016,105
903,Under 18,4581,69,653,0,12,8,49,59,528,61,5,439,5,16,7,26,145,29,2,42,476,0,171,37,554,4,706,0,1093,0,107,106,749938,NORTH DAKOTA,2017,54
904,Total all ages,39944,855,3787,6,61,69,719,352,3128,291,16,2943,156,421,53,311,479,313,38,120,5646,1,654,6318,3086,384,2492,7,11772,1,107,0,0,NORTH DAKOTA,2017,181
905,Over 18,35363,786,3134,6,49,61,670,293,2600,230,11,2504,151,405,46,285,334,284,36,78,5170,1,483,6281,2532,380,1786,7,10679,1,0,0,0,NORTH DAKOTA,2017,127
906,Under 18,4009,91,435,0,19,9,63,44,338,51,2,498,4,20,2,21,122,23,0,30,429,0,243,41,385,1,644,0,914,0,106,103,757131,NORTH DAKOTA,2018,49
907,Total all ages,33210,724,3100,10,47,63,604,254,2622,215,9,2846,140,369,34,278,438,340,11,81,5448,1,356,5136,2623,263,1583,4,9329,0,106,0,0,NORTH DAKOTA,2018,128
908,Over 18,29201,633,2665,10,28,54,541,210,2284,164,7,2348,136,349,32,257,316,317,11,51,5019,1,113,5095,2238,262,939,4,8415,0,0,0,0,NORTH DAKOTA,2018,79
909,Under 18,4152,66,559,2,6,7,51,69,423,59,8,523,4,14,5,16,183,22,0,31,332,0,299,23,410,0,740,0,856,0,69,103,759718,NORTH DAKOTA,2019,37
910,Total all ages,32647,756,3189,17,62,63,614,310,2623,235,21,2824,161,495,49,303,500,303,19,93,5005,2,448,4827,2474,230,1733,1,9166,0,69,0,0,NORTH DAKOTA,2019,155
911,Over 18,28495,690,2630,15,56,56,563,241,2200,176,13,2301,157,481,44,287,317,281,19,62,4673,2,149,4804,2064,230,993,1,8310,0,0,0,0,NORTH DAKOTA,2019,118
912,Under 18,3595,90,365,0,12,7,71,53,241,67,4,449,8,31,3,36,153,13,0,26,336,0,231,55,450,5,456,0,718,0,170,103,759161,NORTH DAKOTA,2020,38
913,Total all ages,32614,1010,2931,25,51,64,870,363,2244,305,19,3138,164,542,36,343,477,284,14,81,4593,0,408,4454,2655,290,1755,8,9260,1,170,0,0,NORTH DAKOTA,2020,132
914,Over 18,29019,920,2566,25,39,57,799,310,2003,238,15,2689,156,511,33,307,324,271,14,55,4257,0,177,4399,2205,285,1299,8,8542,1,0,0,0,NORTH DAKOTA,2020,94
915,Under 18,4047,68,396,0,14,2,52,42,301,50,3,625,0,26,1,36,194,16,0,24,447,0,210,32,334,0,654,0,905,0,79,100,766153,NORTH DAKOTA,2021,38
916,Total all ages,28662,745,2470,9,50,54,632,322,1890,225,33,2972,108,538,28,343,510,247,6,86,4120,2,330,4014,2068,0,1300,0,8696,0,79,0,0,NORTH DAKOTA,2021,136
917,Over 18,24615,677,2074,9,36,52,580,280,1589,175,30,2347,108,512,27,307,316,231,6,62,3673,2,120,3982,1734,0,646,0,7791,0,0,0,0,NORTH DAKOTA,2021,98
918,Under 18,23051,878,4801,6,48,458,366,776,3736,183,106,4732,15,123,3,426,1058,306,6,176,1742,0,161,94,904,15,1567,20,5529,3,492,416,8369913,OHIO,2013,224
919,Total all ages,224248,6589,35489,134,368,2191,3896,4972,29585,705,227,30773,1141,2376,39,3072,3684,2781,1710,680,28612,16,1532,33808,7208,1722,13498,35,48940,51,492,0,0,OHIO,2013,1048
920,Over 18,201197,5711,30688,128,320,1733,3530,4196,25849,522,121,26041,1126,2253,36,2646,2626,2475,1704,504,26870,16,1371,33714,6304,1707,11931,15,43411,48,0,0,0,OHIO,2013,824
921,Under 18,24585,975,4865,16,98,466,395,796,3755,230,84,4956,26,127,1,496,1073,327,12,149,1848,6,196,75,901,32,1784,11,6257,1,467,426,8531005,OHIO,2014,247
922,Total all ages,244134,6681,37913,212,476,2084,3909,4736,32230,751,196,31504,1115,2460,48,3245,3838,3204,1528,665,36331,35,1792,34626,8094,2599,15787,25,52128,49,467,0,0,OHIO,2014,1141
923,Over 18,219549,5706,33048,196,378,1618,3514,3940,28475,521,112,26548,1089,2333,47,2749,2765,2877,1516,516,34483,29,1596,34551,7193,2567,14003,14,45871,48,0,0,0,OHIO,2014,894
924,Under 18,22220,657,4416,6,64,292,295,661,3496,193,66,4231,18,119,1,464,963,288,8,153,1612,6,212,57,731,24,1658,0,6011,3,588,435,8279228,OHIO,2015,217
925,Total all ages,226325,5361,34444,136,361,1656,3208,3670,29967,654,153,27155,999,2157,21,3006,3289,2893,1132,595,32827,27,1674,34254,6207,1608,14714,73,53294,7,588,0,0,OHIO,2015,956
926,Over 18,204105,4704,30028,130,297,1364,2913,3009,26471,461,87,22924,981,2038,20,2542,2326,2605,1124,442,31215,21,1462,34197,5476,1584,13056,73,47283,4,0,0,0,OHIO,2015,739
927,Under 18,22552,732,4174,12,88,307,325,696,3241,172,65,4295,30,134,0,521,1034,318,10,157,1811,1,184,84,672,28,1811,4,6010,5,537,461,8954617,OHIO,2016,245
928,Total all ages,213801,6683,33524,189,481,1847,4166,3851,28735,681,257,28812,1002,2086,21,3202,3599,3211,1308,558,32324,41,1622,15060,5973,1886,14608,99,57640,5,537,0,0,OHIO,2016,1039
929,Over 18,191249,5951,29350,177,393,1540,3841,3155,25494,509,192,24517,972,1952,21,2681,2565,2893,1298,401,30513,40,1438,14976,5301,1858,12797,95,51630,0,0,0,0,OHIO,2016,794
930,Under 18,22865,870,4203,16,78,348,428,728,3180,222,73,4341,33,139,2,454,960,327,4,137,1973,2,212,64,617,27,1745,0,6212,1,542,453,9362266,OHIO,2017,215
931,Total all ages,224423,8084,33068,224,406,1987,5467,4115,27904,764,285,31736,918,2179,21,2800,3454,3681,1122,516,37022,4,1714,15032,5196,4327,12296,208,60497,6,542,0,0,OHIO,2017,922
932,Over 18,201558,7214,28865,208,328,1639,5039,3387,24724,542,212,27395,885,2040,19,2346,2494,3354,1118,379,35049,2,1502,14968,4579,4300,10551,208,54285,5,0,0,0,OHIO,2017,707
933,Under 18,20003,873,2995,17,79,275,502,396,2351,199,49,4360,14,119,0,337,760,327,5,92,1675,5,138,61,409,41,1722,1,5685,2,382,417,9011984,OHIO,2018,171
934,Total all ages,218433,8085,29413,237,470,1548,5830,3354,25004,777,278,30939,770,2089,14,2701,3142,3948,792,451,39708,23,1275,13723,4793,5855,9835,20,60471,4,382,0,0,OHIO,2018,921
935,Over 18,198430,7212,26418,220,391,1273,5328,2958,22653,578,229,26579,756,1970,14,2364,2382,3621,787,359,38033,18,1137,13662,4384,5814,8113,19,54786,2,0,0,0,OHIO,2018,750
936,Under 18,20149,1033,3287,22,86,372,553,468,2549,236,34,4684,11,135,1,340,868,328,2,111,1362,0,90,47,391,22,1676,0,5410,1,350,412,9198221,OHIO,2019,197
937,Total all ages,205987,8752,29869,244,438,1830,6240,3583,25142,893,251,34495,519,1826,22,2393,3656,4048,381,536,33435,19,1045,12301,4595,5060,9427,11,53227,20,350,0,0,OHIO,2019,974
938,Over 18,185838,7719,26582,222,352,1458,5687,3115,22593,657,217,29811,508,1691,21,2053,2788,3720,379,425,32073,19,955,12254,4204,5038,7751,11,47817,19,0,0,0,OHIO,2019,777
939,Under 18,13308,720,1829,20,63,306,331,373,1197,232,27,3141,5,81,1,331,587,267,0,63,621,0,31,43,389,12,820,0,4039,1,327,393,8804775,OHIO,2020,126
940,Total all ages,140837,7159,19714,293,333,1314,5219,2844,15996,763,111,28780,244,1201,2,1734,2924,4133,246,378,16005,5,481,9668,2826,2375,6946,8,35679,2,327,0,0,OHIO,2020,711
941,Over 18,127529,6439,17885,273,270,1008,4888,2471,14799,531,84,25639,239,1120,1,1403,2337,3866,246,315,15384,5,450,9625,2437,2363,6126,8,31640,1,0,0,0,OHIO,2020,585
942,Under 18,12924,660,1357,28,42,254,336,228,830,258,41,3201,8,74,0,327,602,346,0,45,590,0,3,49,386,0,1145,0,3928,0,203,356,8743840,OHIO,2021,87
943,Total all ages,136529,6265,16645,268,298,1116,4583,2348,13234,935,128,27807,156,973,4,1546,3017,5353,337,291,17839,6,412,9891,3305,0,6908,5,35566,0,203,0,0,OHIO,2021,589
944,Over 18,123605,5605,15288,240,256,862,4247,2120,12404,677,87,24606,148,899,4,1219,2415,5007,337,246,17249,6,409,9842,2919,0,5763,5,31638,0,0,0,0,OHIO,2021,502
945,Under 18,11971,460,3438,11,24,133,292,505,2742,93,98,958,4,45,31,258,286,188,5,29,1295,0,74,108,210,438,675,0,2230,0,1239,319,3707079,OKLAHOMA,2013,53
946,Total all ages,125534,4908,18620,156,207,658,3887,2361,15517,517,225,8319,612,1666,436,2571,1241,2148,320,498,16946,11,666,13244,1590,16713,2419,6,31361,0,1239,0,0,OKLAHOMA,2013,705
947,Over 18,113563,4448,15182,145,183,525,3595,1856,12775,424,127,7361,608,1621,405,2313,955,1960,315,469,15651,11,592,13136,1380,16275,1744,6,29131,0,0,0,0,OKLAHOMA,2013,652
948,Under 18,11177,479,3328,12,33,138,296,507,2679,96,46,922,1,37,33,287,218,219,0,46,1361,3,61,116,181,335,549,0,2003,0,998,311,3802453,OKLAHOMA,2014,79
949,Total all ages,123408,4673,19023,129,236,717,3591,2301,15985,576,161,8529,547,1602,475,2479,1153,1988,138,466,17721,40,733,12741,1602,16073,2062,683,29682,0,998,0,0,OKLAHOMA,2014,702
950,Over 18,112231,4194,15695,117,203,579,3295,1794,13306,480,115,7607,546,1565,442,2192,935,1769,138,420,16360,37,672,12625,1421,15738,1513,683,27679,0,0,0,0,OKLAHOMA,2014,623
951,Under 18,10129,447,2847,13,29,129,276,403,2300,117,27,956,10,40,41,264,312,200,0,40,1296,8,48,93,154,288,712,0,1369,0,1004,291,3573369,OKLAHOMA,2015,69
952,Total all ages,110974,4770,18127,179,230,700,3661,2065,15364,555,143,8323,587,1642,487,2348,1280,2139,8,427,17771,12,633,11101,1459,13759,2264,40,22691,102,1004,0,0,OKLAHOMA,2015,657
953,Over 18,100845,4323,15280,166,201,571,3385,1662,13064,438,116,7367,577,1602,446,2084,968,1939,8,387,16475,4,585,11008,1305,13471,1552,40,21322,102,0,0,0,OKLAHOMA,2015,588
954,Under 18,9236,449,2272,17,30,118,284,356,1772,102,42,964,3,38,20,287,277,166,0,48,1328,4,32,107,105,293,505,2,1267,0,1069,336,3744169,OKLAHOMA,2016,78
955,Total all ages,112401,4653,15856,183,207,649,3614,2056,12965,623,212,8195,673,1621,376,2737,1229,2183,5,408,22107,35,609,12200,1433,13507,1996,34,21466,9,1069,0,0,OKLAHOMA,2016,615
956,Over 18,103165,4204,13584,166,177,531,3330,1700,11193,521,170,7231,670,1583,356,2450,952,2017,5,360,20779,31,577,12093,1328,13214,1491,32,20199,9,0,0,0,OKLAHOMA,2016,537
957,Under 18,8750,479,2064,16,26,138,299,398,1532,106,28,920,11,35,25,301,289,145,0,42,1280,3,20,72,111,211,538,0,1342,0,862,389,3789847,OKLAHOMA,2017,68
958,Total all ages,106731,4820,14352,161,179,719,3761,2267,11226,713,146,8226,607,1489,408,2843,1270,2207,15,458,20024,51,539,9599,1394,12799,2096,58,22612,2,862,0,0,OKLAHOMA,2017,637
959,Over 18,97981,4341,12288,145,153,581,3462,1869,9694,607,118,7306,596,1454,383,2542,981,2062,15,416,18744,48,519,9527,1283,12588,1558,58,21270,2,0,0,0,OKLAHOMA,2017,569
